Centre d'archives;Scripteur;Scripteur - complet;Destinataire;Fonction du scripteur;Spécialité;Spécialité - généraliste;Nombre de lettres;Date A;Date B;Format;Sujet(s);Œuvres citées;Personnes citées;Contexte relationnel;Cote Archives;Identifiant personnel;Notes archiviste;Papier à en-tête;Revue;Lieu
Archives municipales de La Rochelle;Michel Panoff;;;Ethnologue;Ethnologue;Sociologie - anthropologie;1;1973;;;Article sur le Chili, Le Langage perdu;;;;10Z 1 (3);;;;;
Domicile;Michel Prigent;;;Presses Universitaires de France;Editeur/Editrice;Edition;3;1999;;;"Difficultés traversées par la maison d'édition ; Publication de Sociologie du Théatre dans la collection Quadrige";Sociologie du Théâtre - Sociologie des ombres collectives, PUF, 1999;;;;;;Presses Universitaires de France;;
IMEC;Michel Ragon;;;Critique d'art, d'architecture et de littérature, romancier;Théoricien de l'architecture;Théoricien de l'art/théâtre/littérature/architecture;2;1998;;;;;;;DVG2.C06;;Voir aussi en Correspondance à propos de Perec ou la Cicatrice (DVG2.N04-07.03);;;
Archives municipales de La Rochelle;Michel Ragon;;;Ecrivain, critique d'art et de littérature, historien;Théoricien de l'architecture;Théoricien de l'art/théâtre/littérature/architecture;1;1982;;;Le favori du désir;;;;10Z 1 (3);;;;;
IMEC;Michel S. (?);;;;Inconnu;Inconnu;1;1973;;;;;;;DVG2.C07;;;;;
IMEC;Michel Tort;;;Psychanaliste;Psychanaliste;Médecine;1;1966;;;;;;;DVG2.C07;;;;;
IMEC;Michèle et Gérard Faÿ;;;G. Faÿ est géographe, spécialiste du Maroc Rural;Géographe;Géographie;1;1990;;;;;;;DVG2.C03;;;;;
IMEC;Micheline Jérôme;;;;Inconnu;Inconnu;1;1978;;;;;;;DVG2.C04;;PJ : Photocopie de publicité des éditions Stock, avec ouvrage de J. Duvignaud;;;
IMEC;Michelle Perrot;;;Historienne;Historien;Histoire;1;1990;;;;;;;DVG2.C06;;"Dans une chemise rose intitulée ""Arguments""";;Arguments;
IMEC;Miguel de Salabest;;;;Inconnu;Inconnu;1;1959;;;;;;;DVG2.C07;;;;;
IMEC;Mile (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Ministère des relations extérieures;;;Ministère;Politicien-ne;Politique;1;1987;;;;;;;DVG2.C05;;Signé Le sous directeur de la politique linguistique (illisible);;;
IMEC;Mino Vianello;;;Sociologue;Sociologue;Sociologie - anthropologie;2;1985;1986;;;;;;DVG2.C07;;;Università Degli Studi di Roma 'La Sapienza';;
Archives municipales de La Rochelle;Mireille et Jacques Saint-Cricq;;;Ingénieur des Mines, Président du Directoire de la Nouvelle République du Centre Ouest;Politicien-ne;Politique;1;;;;;;;;10Z 65 (4);;Carte de visite;;;
IMEC;Mireille Roux;;;Amie intime de Jean Duvignaud pendant les années 1940. ;Inconnu;Littérature;35;1942;1944;51;;;;Intime;DVG2.C06;;"32 lett. mss. + 3 cartes + 1 enveloppe
PJ : 1/ Enveloppe contenant 6 photos et le faire-part de la mort de Mireille Roux
2/ M. Veney à J. Duvignaud : 1 lettre
3/ Écrits de Mireille Roux (9 ff. dont 3 mss. et 6 dactyl. dble carbone)
4/ Lettre non identifiée";;;
IMEC;Mireille Roux;;;Amie intime de Jean Duvignaud pendant les années 1940. ;Inconnu;Littérature;12;1943;1945;20;;;;Intime;DVG2.C06;;"12 lettres manuscrites
P.J. : 1 dessin au crayon avec notations mss au verso (1 f.)";;;
Archives municipales de La Rochelle;Mle S. Bonnefoy;;;Secrétaire général adjoint, université de Paris, Faculté des lettres et Sciences Humaines;Administratif universitaire;Administration  - gestion;1;1964;;;Subvention accordée pour impression de la thèse;;;;10Z 65 (4);;;;;Paris
IMEC;Mme Andrée Pierre Viénot;;;Résistante et femme politique;Politicien-ne;Politique;1;1956;;;;;;;DVG2.C07;;;;;
IMEC;Mme Jacques Heurgon;;;Anne Heurgon, épouse de Jacques Heurgon (latiniste et étruscologue) et directrice du  Centre culturel international de Cerisy-la-Salle;Responsable culturel;Culture et diplomatie;1;1949;;;;;;;DVG2.C04;;;;;
Archives municipales de La Rochelle;Mohamed Aziza;;;Directeur de l'Association pour l'Unversité d'Été de Tabarka;Responsable culturel;Culture et diplomatie;1;1977;;;Séminaire à Tabarka;;;;10Z 65 (4);;;;;Tabarka
IMEC;Mohamed Aziza;;;Poète et romancier franco-tunisien;Ecrivain(e);Littérature;1;1982;;;;;;;DVG2.C01;;;;;
Archives municipales de La Rochelle;Mohamed Benaissa;;;Ministre des affaires culturelles du royaume du Maroc;Responsable culturel;Culture et diplomatie;1;1988;;;Invitation colloque Entrecroisements culturels en méditerranée, 18 au 2 juillet 1988, université Al Charif à Idrissi;;;;10Z 65 (4);;;;;Ministère de la culture du Maroc, 1, Rue Ghandi, Rabat
IMEC;Mohamed Chaker;;;;Inconnu;Inconnu;1;1953;;;;;;;DVG2.C02;;;;;
IMEC;Momon (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Monique;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;Librairie Gallimard;;
IMEC;Monique Guyot;;;"Autrice de ""Journal d'une pétainiste, le revers de la médaille"" ??????";Inconnu;Inconnu;1;1993;;;;;;;DVG2.C03;;;;;
IMEC;Monique Hirschhorn-Bourdin;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1988;;;;;;;DVG2.C04;;;;;
IMEC;Monseigneur Jean-Michel Di Falco;;;Evêque auxiliaire de Paris;Religieux;Religion;1;1999;;;;;;;DVG2.C03;;Contient : 1 lettre, 1 enveloppe, 1 bon de soutien;;;
IMEC;Moraj (?);Probable Charles Morazé (1913-2003);;;Inconnu;Inconnu;3;1965;1973;;;;;;DVG2.C05;;;;;
IMEC;Moy (?);;;;Inconnu;Inconnu;1;1942;;;;;;;DVG2.C05;;;;;
IMEC;Mu (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Murcian (?);;;;Inconnu;Inconnu;3;1951;;;;;;;DVG2.C05;;;;;
IMEC;Musa;;;;Inconnu;Inconnu;2;1963;1964;;;;;;DVG2.C05;;;The Arab Development Society;;
IMEC;Mustapha El Kouki;;;;Inconnu;Inconnu;1;1977;;;;;;;DVG2.C03;;;;;
Archives municipales de La Rochelle;Mustapha Filali;;"""Monsieur le professeur""";CERES Université de Tunis;Sociologue;Sociologie - anthropologie;1;11/3/1963;;;Remise en question du rôle de Jean Duvignaud au sein de l'Université de Tunis (voir photographie de la lettre);;;;10Z 65 (4);;;;;
IMEC;Mustapha Kharmoudi;;;;Inconnu;Inconnu;1;1997;;;;;;;DVG2.C04;;;Maison de la Méditerranée;;
IMEC;Mustapha Tlili;;;Philosophe, fonctionnaire international, écrivain;Ecrivain-philosophe;Philosophie;1;197.;;;;;;;DVG2.C07;;;;;
IMEC;N. Benni (?);;;;Inconnu;Inconnu;1;1985;;;;;;;DVG2.C01;;en-tête : Editions Albin Michel;Editions Albin Michel;;
IMEC;Natasa Kelhar;;;;Inconnu;Inconnu;1;1990;;;;;;;DVG2.C04;;;Euromaske;;
IMEC;Nathalie David-Weill;;;Docteure en littérature française et scénariste;Femme/Homme de lettres;Littérature;2;1982;;;;;;;DVG2.C02;;Dans un classeur bordeau intitulé ‘‘Scarabée International, Archives’‘;;‘‘Scarabée International, Archives’‘;
IMEC;Nathalie Sarraute;;;Ecrivaine;Ecrivain(e);Littérature;1;1971;;;;;;;DVG2.C07;;;;;
IMEC;Naville;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C06;;;;;
IMEC;Nicolas Tertullian;;;Essayiste et philosophe;Philosophe;Philosophie;1;1982;;;;;;;DVG2.C07;;;;;
IMEC;Nicole Avril;;;Femme de lettres (épouse Elkabbach);Femme/Homme de lettres;Littérature;1;19…;;;;;;;DVG2.C01;;;;;
IMEC;Nicole Ladmiral;;;Comédienne;Actrice/acteur;Théâtre;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Nicolle Kress-Rosen;;;Psychanaliste;Psychiatre;Médecine;1;1982;;;;;;;DVG2.C04;;Dans le dossier Scarabée International;;Scarabée International;
Archives municipales de La Rochelle;Nina Darnton;;;Editeur;Editeur/Editrice;Edition;1;1966;;;Chebika;;;;10Z 1 (3);;;Pantheon Books;;New York
IMEC;Noëla Menut-Terrail;;;"""Nono"" dans la correspondance Perec-Lederer. Sténodactylogaphe à laquelle Perec a dicté L'Attentat de Sarajevo.";Sténodactylographe;Administration  - gestion;3;1992;;;;;;;DVG2.N04-05.01;;Cette correspondance se trouve placée comme pièce jointe au manuscrit L'Attentat de Sarajevo, dans le dossier Perec;;;
Archives municipales de La Rochelle;Non signé (Correspondance personnelle);;;Probable universitaire vu l'en-tête;Universitaire;Administration  - gestion;1;1960;;;La chasse à l'aigle et Pour entrer dans le XXe siècle;;;;10Z 1 (3);;;Faculté des lettres et sciences humaines, Sorbonne;;Université Paris 1 Panthéon-Sorbonne, Paris 05
IMEC;Normal Leberque;Morvan Lebesque (1911-1970);;Ecrivain et journaliste;Journaliste-écrivain;Journalisme;1;19…;;;;;;;DVG2.C05;;;Le Canard Enchaîné;;
Archives municipales de La Rochelle;Nouvel Observateur;;;Presse;Journaliste;Journalisme;1;1979;;;"Carte de visite, attribution d'un ""service gracieux d'un an selon la demande de Jean Daniel""";;;;10Z 1 (3);;;;;
IMEC;Nouvelle Diffusion;;;Radio;Femme/Homme de radio;Radio;2;1978;;;;;;;DVG2.C06;;PJ : Demande d'exonération, ministère des finances de Belgique;;;
IMEC;Octavio Paz;;;Poète, écrivain, professeur de littérature et diplomate mexicain;Femme/Homme de lettres;Littérature;2;1964;1968;;;;;;DVG2.C06;;Voir aussi en Manuscrits (DVG2. A11-13);;;
IMEC;Odette Jacsont;;;;Inconnu;Inconnu;1;1978;;;;;;;DVG2.C04;;;;;
IMEC;Odette Laigle;;;A l'époque, directrice des éditions Gallimard;Editeur/Editrice;Edition;1;1957;;;;;;;DVG2.C05;;;;;
IMEC;Olivier Corpet;;;Chercheur en sciences sociales, cofondateur de l'IMEC;Historien-Archiviste;Histoire;4;1982;1996;;;;;;DVG2.C02;;"PJ : Joint à la lettre du 19 novembre 96 : texte de Kostas Axelos, ‘‘Arguments et Pensées’‘ 
Lettre de 82 : dans un classeur bordeau intitulé ‘‘Scarabée International, Archives’‘";;‘‘Scarabée International, Archives’‘;
IMEC;Olivier Descamps;;;;Inconnu;Inconnu;1;1981;;;;;;;DVG2.C02;;;;‘‘Scarabée International, Archives’‘;
Domicile;Olivier Philipponnat;;;Editions l'Archipel;Editeur/Editrice;Edition;1;;;;Renvoi de pages à corriger pour L'Acteur;L'Acteur;;;;;S'accompagne de feuilles de notes;;;
Archives municipales de La Rochelle;Oscar Zorrilla;Oscar Zorrilla Velázquez;;Coordinateur de l'Universidad Abierta;Administratif universitaire;Administration  - gestion;1;199;;;Projet de coopération interuniversitaire;;;;10Z 65 (4);;;;;Mexico
IMEC;Ouang;;;;Inconnu;Inconnu;1;1949;;;;;;;DVG2.C06;;;;;
IMEC;P. (?);;;;Inconnu;Inconnu;1;1960;;;;;;;DVG2.C06;;;NRF;NRF;
IMEC;P. A. (?);;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C06;;;;;
IMEC;P. A. (?);;;;Inconnu;Inconnu;1;197.;;;;;;;DVG2.C06;;;;;
IMEC;P. A. Touchard;;;Probable Pierre-Aimé Touchard, résistant, dramaturge, administrateur de théatre;Femme/Homme de théâtre;Littérature;1;1959;;;;;;;DVG2.C07;;;;;
IMEC;P. Lainé;Pascal Lainé (1942-);;Ecrivain et philosophe. Il collabora à la revue Cause Commune.;Ecrivain(e);Littérature;1;1969;;;;;;;DVG2.C05;;;;;
IMEC;P. Marthelot;;;Historien;Historien;Histoire;1;1963;;;;;;;DVG2.C05;;;École Pratique des Hautes Études;;
Archives municipales de La Rochelle;P.-F. Large et D. Privat;;;Pierre-François Large est sociologue;Sociologue;Sociologie - anthropologie;1;19…;;;Envoi d'un article de Large et Privat sur le forum des Halles;;;;;;carte postale;;;
Archives municipales de La Rochelle;Pantheon Books (André Schiffrin, Paula McGuire, Dieter Pevsner, James Price pour le service de presse);;;Pantheon Books;Editeur/Editrice;Edition;9;1966;1971;;Chebika, Fêtes et civilisations;;;Edition;10Z 1 (3);;"Dans la correspondance avec Paula McGuire : Lettre annotée par Jean Duvignaud avec en-tête des éditions. Une copie sur papier sans en-tête.
PJ : Fascicule de présentation de la maison d'édition
Dans correspondance de 1969 : questionnaire pour la couverture du livre
1971 : Fiche de paye en royalties";Pantheon Books;;New York
IMEC;Paolo Meneghetti;;;;Inconnu;Inconnu;1;1983;;;;;;;DVG2.C05;;;Comune di Mantova;;
IMEC;Pascal Engel et F. Clementz;;;Philosophes;Philosophe;Philosophie;1;1982;;;;;;;DVG2.C03;;;;;
IMEC;Pascal Letellier;;;Essayiste, écrivain d'art, scénariste, commissaire d'expositions, sociologue et éditeur. Directeur de l'Institut français de Valencia;Responsable culturel;Culture et diplomatie;2;1977;1998;;;;;;DVG2.C05;;;;;
IMEC;Pascal Ory (?) à François Mitterrand;;;Historien;Historien;Histoire;1;1974;;;;;;;DVG2.C06;;La lettre était à l'intérieur de la Nouvelle Revue Socialiste n 4, 1974;;;
IMEC;Patrick B;;;probable journaliste;Journaliste;Journalisme;3;1974;1976;;;;;;DVG2.C01;;en-tête : Sud-Ouest;Sud-Ouest;;
IMEC;Patrick Baudry;;;Professeur de sociologie Bordeaux-Montaigne;Sociologue;Sociologie - anthropologie;5;1995;1998;;;;;;DVG2.C01;;En-tête Université Bordeaux Montaigne;Université Bordeaux Montaigne;;
IMEC;Patrick Berthomeau;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1999;;;;;;;DVG2.C01;;;;;
IMEC;Patrix;;;;Artiste plasticien;Arts;1;1969;;;;;;;DVG2.C06;;;Atelier Patrix / Esthetique industrielle;;
IMEC;Paul;;;;Inconnu;Inconnu;2;1992;;;;;;;DVG2.C06;;;;;
IMEC;Paul Marcelle;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Paul Pascon;;;;Inconnu;Inconnu;1;1970;;;;;;;DVG2.C06;;;;;
IMEC;Paul Rabinow;;;Anthropologue américain;Anthropologue;Sociologie - anthropologie;2;1975;;;;;;;DVG2.C06;;Voir aussi d'autres lettres en Archives Professionnelles (DVG2.F04-03);;;
IMEC;Paul Virilio;;;Sociologue;Sociologue;Sociologie - anthropologie;7;1976;1996;;;;;;DVG2.C07;;Voir aussi en Correspondance à propos de Perec ou la Cicatrice (DVG2.N04-07.03);;;
Archives municipales de La Rochelle;Paul Virilio;;;Verrier, architecte, théoricien de l'architecture, sociologue.;Théoricien de l'architecture;Théoricien de l'art/théâtre/littérature/architecture;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;
IMEC;Paula Mcguire;;;Des éditions Pantheon Books;Editeur/Editrice;Edition;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Paule Thévenin;;;Editrice scientifique. Elle a fait éditer sans l'accord des ayants droits les œuvres d'Antonin Artaud chez Gallimard;Editeur/Editrice;Edition;4;1977;1984;;;;;;DVG2.C07;;;;;
IMEC;Paulo Elpidio Menezes Neto;;;Universitaire, professeur de Sciences politiques et sciences sociales. Université fédérale du Céara,  Brésil;Universitaire;Administration  - gestion;3;1976;1998;;;;;;DVG2.C05;;;;;
Archives municipales de La Rochelle;Paulo Elpidio Menezes Neto;;;Universitaire, professeur de Sciences politiques et sciences sociales. Université fédérale du Céara,  Brésil;Universitaire;Administration  - gestion;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;Av. da Universidade, 2853 - Benfica, Fortaleza - CE, 60020-181, Brésil
IMEC;PCF;;;Parti politique que Jean Duvignaud a quitté pour cause de désaccords idéologiques;Politicien-ne;Politique;7;1948;1950;;;;;;DVG2.C06;;"PJ : Texte incomplet signé Tristan Maya
Lettres signés A. Lecoeur (2), J. Nennig (2), A. Loisy (1), Maurice Thorez (1) et F. Maillard (1) ; (1.5) Les lettres faisaient partie du dossier PC
Voir également Documentation (DVG2.D02)";;;
Archives municipales de La Rochelle;Père Arino;;;Directeur de l'Institut Català d'estudis Mediterranis;Administratif universitaire;Administration  - gestion;1;1991;;;"bienvenue au cours ""Els ideals de la Mediterrània""";;;;10Z 65 (4);;;;;Barcelone
Archives municipales de La Rochelle;Personnel, de Carthage;;;;Inconnu;Inconnu;1;1968;;;Chebika;;;;10Z 1 (3);;;;;
Archives municipales de La Rochelle;Personnel, Mexique;;;;Inconnu;Inconnu;1;1970;;;;;;;10Z 1 (3);;Carte postale;;;
IMEC;Petar;;;;Inconnu;Inconnu;1;1980;;;;;;;DVG2.C06;;;;;
Archives municipales de La Rochelle;Ph. Arbaizar;;;Conservateur de bibliothèque (BPI);Responsable culturel;Culture et diplomatie;1;1981;;;Exposition;;;;10Z 1 (3);;;Centre Georges Pompidou - BPI;;BPI, 40 Av. des Terroirs de France, 75012 Paris
IMEC;Philipp Roestang (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C06;;;;;
IMEC;Philippe Abaizar;;;Historien de l'art et philosophe, Conservateur de la BPI;Responsable culturel;Culture et diplomatie;1;1993;;;;;;;DVG2.C01;;;;;
IMEC;Philippe Garcin;;;Philippe Garcin devient chef des services littéraires des PUF à partir de 1957;Editeur/Editrice;Edition;2;1966;;;;;;;DVG2.C03;;;Presses Universitaires Françaises;;
IMEC;Philippe Lancottet (plus probable Philippe Jaccottet);;;Poète, écrivain, critique littéraire et traducteur suisse;Femme/Homme de lettres;Littérature;1;1955;;;;;;;DVG2.C05;;;;;
IMEC;Philippe Nenema (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C06;;;;;
IMEC;Piel;;;;Inconnu;Inconnu;1;1958;;;;;;;DVG2.C06;;;Critique;;
IMEC;Piero Nardi;;;Peintre italien;Artiste plasticien;Arts;1;1969;;;;;;;DVG2.C06;;;Fondazione Giorgio Cini;;
IMEC;Pierr Descares (?);;;;Inconnu;Inconnu;1;1960;;;;;;;DVG2.C02;;;;;
IMEC;Pierre;;;;Inconnu;Inconnu;1;1982;;;;;;;DVG2.C06;;;;;
Archives municipales de La Rochelle;Pierre (?);;;;Editeur/Editrice;Edition;1;19.;;;Demande de le rappeler;;;;10Z 65 (4);;;René Juillard Editeur;;Éditions Julliard 22 rue du Pont Neuf 75001 Paris
IMEC;Pierre Ansart;;;Philosophe, sociologue, résistant;Philosophe;Philosophie;3;1982;1989;;;;;;DVG2.C01;;P.J. : J. Duvignaud à Balandier et à la rédaction des ‘‘Cahiers’‘ : 1 lettre datée de 1989 (double carbone);;Cahiers du XXe siècle;
Domicile;Pierre Ansart [probable];;;Philosophe, sociologue, résistant;Philosophe;Philosophie;1;11/12/1993;;;"Remerciement et commentaire pour l'envoi de la réédition de l'Acteur ; Organisation par Sophie Dayan et Michel Abensour de conférences publiques dont ils aimeraient que Duvignaud fasse partie du comité organisateur avec Ansart également. ";L'Acteur, 1993;;;;;;;;
IMEC;Pierre Béguin;;;Ecrivain;Ecrivain(e);Littérature;1;1958;;;;;;;DVG2.C01;;;;;
IMEC;Pierre Bourdieu;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1961;;;;;;;DVG2.C01;;;;;
IMEC;Pierre Brochon;;;Poète;Poete;Philosophie;1;1957;;;;;;;DVG2.C01;;;;;
IMEC;Pierre Cochery;;;;Inconnu;Inconnu;5;1945;1946;;;;;;DVG2.C02;;"PJ : 1 coupure de presse, ‘‘La Rochelle accueille dans l'enthousiasme les délégués de la Paix’‘
En-tête : Volontaires de la Liberté, Comité Central
""les amis des mauvais jours’‘";Volontaires de la Liberté, Comité Central;;
IMEC;Pierre Corval;;;Résistant et journaliste;Journaliste;Journalisme;1;1951;;;;;;;DVG2.C02;;en-tête : L'aube;;;
IMEC;Pierre Emmanuel;;;Poète;Poete;Philosophie;1;1959;;;;;;;DVG2.C03;;;Rencontre de Lourmarin;;
IMEC;Pierre Ferminade (?);;;;Inconnu;Inconnu;1;1954;;;;;;;DVG2.C03;;;;;
IMEC;Pierre Fougeyrollas;;;philosophe, sociologue et anthropologue;Sociologue;Sociologie - anthropologie;3;1977;1981;;;;;;DVG2.C03;;;Paris VII - Département de Sociologie;;
IMEC;Pierre Fougeyrollas (?), Claudin F. (??);;;;Inconnu;Inconnu;1;1998;;;;;;;DVG2.C03;;;;;
IMEC;Pierre Francastel;;;Historien de l'art;Historien de l'art;Histoire;4;1954;1986;;;;;;DVG2.C03;;;;;
IMEC;Pierre Gascon (?);;;Probablement résistant et figure politique de Grenoble;Politicien-ne;Politique;1;1969;;;;;;;DVG2.C03;;;;;
IMEC;Pierre Guyotat;;;Ecrivain, auteur de romans sulfureux et polémiques défendus par les intellectuels de l'époque (Tombeaux pour 500 000 soldats, Eden, Eden, Eden);Ecrivain(e);Littérature;6;1967;1970;;;;;;DVG2.C03;;;;;
IMEC;Pierre Mandale;;;;Inconnu;Inconnu;2;1954;;;;;;;DVG2.C05;;;;;
IMEC;Pierre Mendès-France;;;;Politicien-ne;Politique;3;19…;;;;;;;DVG2.C05;;"Les 3 courriers sont des cartes de visite. Dans une chemise orange intitulée ""DGRST""";;;
IMEC;Pierre Mesnard;;;Philosophe et historien de la philosophie. Il créé l'Institut Supérieur de la renaissance à l'Université de Tours;Historien-philosophe;Histoire;1;1968;;;;;;;DVG2.C05;;;;;
IMEC;Pierre Picard;;;Homme politique et résistant;;Politique;1;;;;;;;;DVG2.C06;;;;;
IMEC;Pierre Pirret;;;Docteur en philosophie et lettres, université de Louvain;Philosophe;Philosophie;2;1997;1998;;;;;;DVG2.C06;;"PJ : Appel à contribution de ""Textyles"", n°16";;;
IMEC;Pierre Poster (?);;;;Inconnu;Inconnu;1;1966;;;;;;;DVG2.C06;;;;;
IMEC;Pierre Sansot;;;Anthropologue, philosophe et sociologue;Anthropologue;Sociologie - anthropologie;1;1980;;;;;;;DVG2.C07;;;;;
IMEC;Pierre Schaeffer (?);;;Ingénieur, compositeur, théoricien de la musique et homme de radio;Musicien-ne;Arts;2;1972;1976;;;;;;DVG2.C07;;;;;
IMEC;Pierre Vandervoorde;;;Professeur d'Histoire, poète;Poete;Philosophie;1;1980;;;;;;;DVG2.C07;;;Centre National des Lettres;;
IMEC;Pierre-François Large;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1994;;;;;;;DVG2.C05;;;;;
IMEC;Pilar Aguilar;;;Ecrivaine, essayiste, féministe;Ecrivain(e);Littérature;1;1976;;;;;;;DVG2.C01;;;;;
IMEC;Prenant;;;;Inconnu;Inconnu;1;1948;;;;;;;DVG2.C06;;Signé par son secrétaire O. [Worusy];Encyclopédie de la Renaissance Française;;
Archives municipales de La Rochelle;Productions Fox Europa;;;Maison de production cinématographique;Producteur;Cinéma;2;1969;;;Projection privée Le Grabuge;;;;10Z 1 (3);;;;;Paris
Archives municipales de La Rochelle;PUF (Françoise Laye);;;;Editeur/Editrice;Edition;1;1978;;;Parution en serbo-croate des Ombres collectives;;;;10Z 1 (3);;;PUF;;170 bis boulevard du Montparnasse 75680 Paris
IMEC;R (?);;;;Inconnu;Inconnu;1;1990;;;;;;;DVG2.C06;;"Dans une chemise rose intitulée ""Arguments""";;;
IMEC;R. B.;;;possible Raymond Bayer;Philosophe;Philosophie;5;19…;;;;;;;DVG2.C01;;en-tête : Corpus Général des Philosophes Français;Corpus Général des Philosophes Français;;
IMEC;R. C…(?);;;;Inconnu;Inconnu;1;1993;;;;;;;DVG2.C02;;;;;
IMEC;R. Cennel (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C02;;;;;
IMEC;R. Droguet;;;ecrivain;Ecrivain(e);Littérature;2;1954;;;;;;;DVG2.C02;;;;;
IMEC;R. Nort (?);;;;Inconnu;Inconnu;1;1954;;;;;;;DVG2.C06;;;;;
IMEC;R. Noud (?);;;;Inconnu;Inconnu;3;1954;1975;;;;;;DVG2.C06;;;;;
IMEC;R.-J. M (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Ralph Albanese;;;Professeur de littérature française et directeur du Département des langues et littératures étrangères (1992 univ de Memphis);Professeur de littérature;Littérature;4;1976;1979;;;;;;DVG2.C01;;;;;
IMEC;Ramon Xirau;;;Poète et philosophe espagnol;Philosophe;Philosophie;4;1982;1983;;;;;;DVG2.C07;;;;;
Domicile;Randmon House;;;Random House Inc.;Editeur/Editrice;Edition;1;1998;;;Droits d'auteur;;;;;;;;;
Archives municipales de La Rochelle;Raymond Aron;;;Philosophe, sociologue, politologue;Sociologue;Sociologie - anthropologie;1;1971;;;L'Empire du milieu;;;;10Z 1 (3);;;;;
IMEC;Raymond Boudon;;;philosophe et sociologue français;Sociologue;Sociologie - anthropologie;2;1986;;;;;;;DVG2.C01;;;;;
IMEC;Raymond Carpentier (?);;;Psychologue;Psychologue;Médecine;1;19…;;;;;;;DVG2.C02;;;;;
IMEC;Raymond Duvignaud;;;;Famille;Inconnu;1;1991;;;;;;;DVG2.C02;;;;;
IMEC;Raymond Num(?);;;;Inconnu;Inconnu;1;1980;;;;;;;DVG2.C06;;;Université de Paris, Faculté des Lettres et Sciences Humaines;;
IMEC;Raymond Queneau;;;Romancier, poète et dramaturge, cofondateur de l'Oulipo;Femme/Homme de lettres;Littérature;1;1949;;;;;;;DVG2.C06;;;NRF;NRF;
IMEC;Raymond Riquier;;;Chef-adjoint du cabinet du Premier ministre Lionel Jospin;Politicien-ne;Politique;2;1998;1999;;;;;;DVG2.C06;;;Premier Ministre, Le Chef Adjoint de Cabinet;;
IMEC;Rédaction de Alliage;;;Revue;Directeur de revue;Edition;1;1995;;;;;;;DVG2.C01;;;;;
IMEC;Reem Bustami;;;Thèse de sociologie sous la direction de Jean Duvignaud;Sociologue;Sociologie - anthropologie;1;1998;;;;;;;DVG2.C01;;;;;
IMEC;Régine Acquaviva;;;Actrice ?;Actrice/acteur;Théâtre;1;1959;;;;;;;DVG2.C01;;;;;
IMEC;Rémi Tourangeau;;;Sociologue québecois spécialiste des fêtes et du théâtre;Sociologue;Sociologie - anthropologie;1;1994;;;;;;;DVG2.C07;;;Université du Québec à Trois Rivières;;
IMEC;Rémy Riaud;;;;Inconnu;Inconnu;1;1978;;;;;;;DVG2.C06;;;;;
IMEC;Renaud Ego;;;écrivain, poète, historien de l'art et critique littéraire français, cofondateur de la revue La Pensée de Midi;Femme/Homme de lettres;Littérature;1;19…;;;;;;;DVG2.C03;;;;Arguments;
IMEC;René Depestre;;;Poète, romancier et essayiste haïtien;Ecrivain(e);Littérature;2;1959;1985;;;;;;DVG2.C02;;;;;
IMEC;René Etiemble;;;Ecrivain et universitaire spécialiste du Haïku et du confucianisme;Universitaire-écrivain;Administration  - gestion;3;1951;;;;;;;DVG2.C03;;;Université de Montpellier;;
Archives municipales de La Rochelle;René Haby;;;Ministre de l'éducation;Politicien-ne;Politique;1;1975;;;Remerciement pour l'envoi de La planète des Jeunes;;;;10Z 65 (4);;Sur une carte de visite, pour Duvignaud, Corbeau, Astier-Brunet;;;
IMEC;René König;;;Sociologue allemand;Sociologue;Sociologie - anthropologie;1;1977;;;;;;;DVG2.C04;;;;;
IMEC;René Lourau;;;Sociologue;Sociologue;Sociologie - anthropologie;1;1982;;;;;;;DVG2.C05;;;;;
IMEC;René Tavernier ;;;Poète et résistant français (père de Bertrand Tavernier);Poete;Philosophie;1;1957;;;;;;;DVG2.C07;;;;;
IMEC;René Wintzen;;;Ecrivain, directeur littéraire de Casterman, rédacteur en chef des revues Documents et Dokumente;Editeur/Editrice;Edition;1;1971;;;;;;;DVG2.C07;;;Editions Casterman;;
