Centre d'archives;Scripteur;Scripteur - complet;Destinataire;Fonction du scripteur;Spécialité;Spécialité - généraliste;Nombre de lettres;Date A;Date B;Format;Sujet(s);Œuvres citées;Personnes citées;Contexte relationnel;Cote Archives;Identifiant personnel;Notes archiviste;Papier à en-tête;Revue;Lieu
IMEC;Leurei (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
Archives municipales de La Rochelle;Librairie Payot&cie Lausanne;;;Editeur;Editeur/Editrice;Edition;1;1938;;;Refus de publication d'un roman;;;;10Z 1 (3);;;;;Lausanne, Suisse
IMEC;Liliane Atlan;;;Dramaturge;Dramaturge;Théâtre;2;1957;1970;;;;;;DVG2.C01;;;;;
IMEC;Liliane Paminet;;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C06;;;;;
IMEC;Line Taveza;;;;Inconnu;Inconnu;2;19.;;;;;;;DVG2.C07;;;;;
IMEC;Lionyx Prinon;;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C06;;;Caixa Geral de Depositos;;
IMEC;Lit Tout;;;;Inconnu;Inconnu;1;1954;;;;;;;DVG2.C05;;Bureau de coupures de journaux français & étranger (signature illisible);;;
IMEC;Loïc Ruellan;;;;Inconnu;Inconnu;1;1986;;;;;;;DVG2.C06;;;Ministère de la Culture, Préfecture de la Region Bretagne;;
IMEC;Louis Berthe;;;Ethnologue;Ethnologue/Anthropologue;Sociologie - anthropologie;13;1951;1961;;;;;;DVG2.C01;;;;;
IMEC;Louis Daniel Hirsch;;;Directeur commercial des éditions Gallimard de 1922 à 1974;Editeur/Editrice;Edition;1;1951;;;;;;;DVG2.C04;;;Gallimard;;
Domicile;Louis Rohou [?];;;;Inconnu;Inconnu;1;1993;;;"Remerciement et commentaire pour l'envoi d'un livre, sûrement Talma (""Le singe patriote"")";Le singe patriote;;;;;La signature est illisible. On se base sur le papier à en-tête pour supposer de l'auteur;Louis Rohou - Expert comptable;;
IMEC;Louise Lambrichs;;;Romancière et essayiste;Ecrivain(e);Littérature;1;1995;;;;;;;DVG2.C05;;;;;
Archives municipales de La Rochelle;Louis-Vincent Thomas;;;Sociologue, anthropologue, ethnologue;Socio-anthropologue;Sociologie - anthropologie;1;1991;;;Réédition de Chebika;;;;10Z 1 (3);;;;;
IMEC;Loys Masson;;;Résistant, poète, romancier (prix Goncourt);Ecrivain(e);Littérature;2;1958;;;;;;;DVG2.C05;;;;;
IMEC;Luc de Hensch;;;réalisateur et anthropologue;Anthropologue;Sociologie - anthropologie;1;19…;;;;;;;DVG2.C04;;;;;
IMEC;Luce Irigaray;;;Philosophe, linguiste et psychanalyste;Philosophe;Philosophie;1;1982;;;;;;;DVG2.C04;;Dans le dossier Scarabée International;;Scarabée International;
IMEC;Lucette Mayherit-Coutriet (probable Lucette Michaux-Chevry);;;Femme politique guadeloupéenne;Politicien-ne;Politique;4;1944;;;;;;;DVG2.C05;;"Lettres signées Lucette ou ""Lu""";;;
IMEC;Lucia Calamoro (?), Rafael Mandressi;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;;;;
IMEC;Lucien;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C05;;PJ : Une photo écrite au dos, signée Lucien et Anne;;;
IMEC;Lucien Attoun;;;Homme de théâtre et de radio;Femme/Homme de théâtre;Littérature;1;1994;;;;;;;DVG2.C01;;;;;
IMEC;Lucien Sfez;;;Universitaire en droit et sciences politiques;Professeur de droit;Droit;1;1999;;;;;;;DVG2.C07;;;Université Paris 1;;
IMEC;Lucienne Dietsch;;;Poetesse et académicienne;Poete;Philosophie;6;1942;1944;;;;;;DVG2.C02;;"""Les amis des mauvais jours""";;;
IMEC;Lucienne Hamon;;;Fille de Léo Hamon. Actrice, scénariste et dialoguiste. Spé : théâtre;Femme/Homme de théâtre;Littérature;1;1993;;;;;;;DVG2.C04;;;;;
IMEC;Lucio Mendietta Y Nuñez;;;;Inconnu;Inconnu;2;1968;;;;;;;DVG2.C05;;la lettre de 23 novembre était dans la chemise rose intitulée ‘‘Chebika, dossier de presse’‘;;;
IMEC;Luis Fernando;;;Possible Luis Fernando Verissimo, écrivain brésilien et journaliste au Journal do Brasil;Journaliste-écrivain;Journalisme;1;1976;;;;;;;DVG2.C03;;;;;
IMEC;Luis H(?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C04;;;;;
IMEC;M Vinaver (?);;;;Inconnu;Inconnu;1;19.;;;;;;;DVG2.C07;;;;;
IMEC;M(?);;;;Inconnu;Inconnu;1;1954;;;;;;;DVG2.C05;;;;;
IMEC;M. Angelo Landi;;;;Inconnu;Inconnu;2;1956;;;;;;;DVG2.C05;;;;;
IMEC;M. Catane;;;;Inconnu;Inconnu;1;1961;;;;;;;DVG2.C02;;en-tête : Organizacion de Los Estados Americanos;Organizacion de Los Estados Americanos;;
IMEC;M. Dafou (?);;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C02;;;;;
Archives municipales de La Rochelle;M. de Vincelles;;;Ambassade de France au Portugal, Service culturel, scientifique et de coopération technique;Responsable culturel;Culture et diplomatie;1;1976;;;Conférences au Portugal;;;;10Z 65 (4);;;;;Ambassade de France à Lisbonne, R. Santos-O-Velho 5, 1249-079 Lisboa, Portugal
IMEC;M. Habart;;;;Inconnu;Inconnu;1;19…;;;;;;;DVG2.C04;;;;;
IMEC;M. Jacquot;;;;Inconnu;Inconnu;1;1958;;;;;;;DVG2.C04;;;;;
Archives municipales de La Rochelle;M. Mazières;;;Chef du 3e bureau, Ministère de l'Education Nationale, CNRS;Administratif universitaire;Administration  - gestion;1;1964;;;"Subvention pour édition de ""Sociologie du Comédien"" chez Gallimard";;;;10Z 65 (4);;;;;CNRS, 3, rue Michel-Ange, Paris 16
