Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
L'Islam et les fondements du pouvoir  ;Abderraziq , Ali ;"L'Islam et les fondements du pouvoir [Texte imprimé] / Ali Abderraziq ; nouvelle traduction et introduction de Abdou Filali-Ansary";Abderraziq , Ali (Casablanca : Éd. Le Fennec, D.L.1994);Islam et État   Califat   Histoire  et autres;;;Français;9981-838-13-6 ;9789981838130 ;
Vers un nouveau prophétisme : essai sur le rôle politique du sacré et la situation de Lucifer dans le monde moderne ;Abellio , Raymond ;Vers un nouveau prophétisme : essai sur le rôle politique du sacré et la situation de Lucifer dans le monde moderne / Raymond Abellio;"Abellio , Raymond (Bruxelles ; Paris : La Diffusion du livre : Éd. du Cheval ailé ; C 1947)";Sacré   Prophétie   Religion et politique  et autres;;;Français;;;
Rencontres autour de Pierre Fougeyrollas ;Abensour , Miguel ;"Rencontres autour de Pierre Fougeyrollas / contributions de Miguel Abensour, Michel Allard, Pierre Ansart... [et al.] ; textes réunis et présentés par Pierre Ansart";"Abensour , Miguel (Paris : Editions l'Harmattan, cop. 1993 ;  70-Héricourt :  Impr. du Paquis)";Fougeyrollas, Pierre   Marxisme   Social history  et autres;;;Français;2-7384-2048-6 ;9782738420480 ;
Le théâtre et le Prince  : 1981-1991 ;Abirached , Robert ;Le théâtre et le Prince [Texte imprimé] : 1981-1991 / Robert Abirached;"Abirached , Robert (Paris : Plon, cop.1992 ;  18-Saint-Amand-Montrond :  Impr. SEPC)";Politique culturelle   Théâtre et État   France  et autres;;;Français;2-259-02185-9 ;9782259021852 ;
La crise du personnage dans le théâtre moderne ;Abirached , Robert ;La crise du personnage dans le théâtre moderne / Robert Abirached;Abirached , Robert ([Paris] : Gallimard, DL 1994);Théâtre (genre littéraire)   Représentation (esthétique)   Personnages de théâtre ;"Collection Tel ; 245";;Français;978-2-07-073745-1  et autres;978-2-07-073745-1  et autres;
La Crise du personnage dans le théâtre moderne  ;Abirached , Robert ;La Crise du personnage dans le théâtre moderne [Texte imprimé] / Robert Abirached;"Abirached , Robert (Paris : B. Grasset, 1978 ;  Paris :  Presses du Palais Royal)";Personnages -- Au théâtre -- 18e siècle -- 19e siècle -- 20e siècle   Personnages littéraires   Théâtre -- Production et mise en scène -- 20e siècle  et autres;;;Français;2-246-00667-8 ;9782246006671 ;
Développement de la libido  : formation du caractère : études cliniques ;Abraham , Karl ;"Développement de la libido [Texte imprimé] : formation du caractère : études cliniques / Karl Abraham, ... ; traduit de l'allemand par Ilse Barande avec la collaboration de Elisabeth Grin";Abraham , Karl (Paris : Payot, impr. 1973);Libido   Caractère ;Bibliothèque scientifique. Science de l'homme;;Français;;;
Oeuvres complètes  . 1 . Rêve et mythe : G. Segantini-Amenhotep IV ;Abraham , Karl ;"Oeuvres complètes [Texte imprimé] . 1 . Rêve et mythe : G. Segantini-Amenhotep IV / Karl Abraham ; introd. de Ilse Barande";Abraham , Karl (Paris : Payot, impr.1973);Rêves   Interprétation psychanalytique   Mythe  et autres;Bibliothèque scientifique. Science de l'homme;;Français;;;
Musiques sur le fleuve : les plus belles pages du Kitâb al-Aghâni ;Ab? al-Fara? al-I?bah?n? , ?Al? ibn al-?usayn ;Musiques sur le fleuve : les plus belles pages du Kitâb al-Aghâni / [choisies et présentées par] Jacques Berque;"Ab? al-Fara? al-I?bah?n? , ?Al? ibn al-?usayn (Paris : A. Michel, impr. 1995 ;  18-Saint-Amand-Montrond :  Impr. Bussière)";Ab? al-Fara? al-I?bah?n?, ?Al? ibn al-?usayn (0897-0967) -- Kit?b al-A??n?   Littérature arabe -- 750-1258   Poésie arabe  et autres;;;Français;2-226-07960-2 ;9782226079602 ;
Adolf Hitler  : essai de biographie psycho-pathologique ;Achille-Delmas , François ;Adolf Hitler [Texte imprimé] : essai de biographie psycho-pathologique / François Achille-Delmas;Achille-Delmas , François (Paris : M. Rivière et cie, 1946);Hitler, Adolf   Biographies -- 1889-1945 ;Études de psychologie appliquée;;Français;;;
"Le jour viendra ; L'heure de la mort : récits ";Achternbusch , Herbert ;"Le jour viendra ; L'heure de la mort : récits / Herbert Achternbusch ; traduits par Michel-François Demet";"Achternbusch , Herbert ([Paris] : Hachette littérature, impr. 1980 ;  27-Mesnil-sur-l'Estrée :  impr. Firmin-Didot)";Nouvelles allemandes ;Bibliothèque allemande;;Français;2-01-006210-8 ;9782010062100 ;
Lettres des mers du Sud  ;Adams , Henry ;"Lettres des mers du Sud [Texte imprimé] / Henry Adams ; traduites de l'américain, avec des notes et une introduction par Évelyne de Chazeaux";"Adams , Henry (Paris (Musée de l'homme, place du Trocadéro, 75116) : Société des océanistes, 1974 ;  80-Abbeville :  impr. F. Paillart)";Adams, Henry   Pacifique, Îles du   Descriptions et voyages -- 1838-1918 ;"Publications de la Société des océanistes ; 34";;Français;;;
Dialectique négative  ;Adorno , Theodor Wiesengrund ;"Dialectique négative [Texte imprimé] / Theodor W. Adorno ; traduit de l'allemand par le Groupe de traduction du Collège de philosophie Gérard Coffin, Joëlle Masson, Olivier Masson... [et al.] ; postface de Hans-Günther Holl";"Adorno , Theodor Wiesengrund (Paris : Payot, 1978, cop. 1978 ;  18-Saint-Amand-Montrond :  Impr. S.E.P.C.)";Dialectique ;"Critique de la politique ; 22";;Français;2-228-52230-9 ;9782228522304 ;
Négritude et négrologues  ;Adotevi , Stanislas Spero K ;Négritude et négrologues [Texte imprimé] / par Stanislas Spero K. Adotevi;"Adotevi , Stanislas Spero K (Paris : Union générale d'éditions, 1972 ;  59-Loos :  Impr. L. P.-F. L. Danel)";Négritude   Dans la littérature   Afrique noire -- Politique et gouvernement -- 1960-....  et autres;"10-18 ; 718";;Français;;;
Le grand espoir = (Die grössere Hoffnung) ;Aichinger , Ilse ;"Le grand espoir = (Die grössere Hoffnung) / Ilse Aichinger ; traduit de l'allemand par Marielore Rouveyre";Aichinger , Ilse (Paris : Gallimard, D.L. 1956);Roman autrichien ;Du monde entier;;Français;;;
Boukhara  ;Ai?n? , Sadriddin ;"Boukhara [Texte imprimé] / par Sadriddine Aini ; traduit du tadjik par S. Borodine, P. Korotkine";Ai?n? , Sadriddin (Paris : Gallimard, 1956);Boukhara (Émirat)   Boukhara (Ouzbékistan) ;"Littératures soviétiques ; 2";;Français;;;
L'Afro-fascisme  : les droits de l'homme dans la charte et la pratique de l'Organisation de l'unité africaine ;Aït Ahmed , Hocine ;L'Afro-fascisme [Texte imprimé] : les droits de l'homme dans la charte et la pratique de l'Organisation de l'unité africaine / Hocine Ait-Ahmed;"Aït Ahmed , Hocine (Paris : Éditions l'Harmattan, 1980 ;  14-Condé-sur-Noireau :  impr. C. Corlet)";"Organisation de l&apos;unité africaine   Droits civils et politiques   Droits de l&apos;homme  et autres";;;Français;2-85802-144-9 ;9782858021444 ;
L'Affaire Mécili ;Aït-Ahmed , Hocine ;L'Affaire Mécili / Hocine Aït-Ahmed;Aït-Ahmed , Hocine (Paris : Éditions la Découverte, DL 1989);Mécili, Ali   Services de renseignements   Politique et gouvernement -- Algérie -- 1962-....  et autres;Cahiers libres;;Français;2-7071-1842-7 ;9782707118424 ;
Mars ou La guerre jugée  ;Alain ;Mars ou La guerre jugée [Texte imprimé] / Alain;Alain ([Paris] : Gallimard, impr. 1969, cop. 1936);Guerre mondiale (1914-1918) ;"Idées ; 178";;Français;;;
Propos sur les pouvoirs : éléments d'éthique politique ;Alain ;"Propos sur les pouvoirs : éléments d'éthique politique / Alain ; propos choisis et classés par Francis Kaplan ; [postface de Robert Bourgne]";Alain ([Paris] : Gallimard, DL1985);Alain   Démocratie   Pouvoir (philosophie)  et autres;"Collection Folio . Essais ; 1";;Français;2-07-032278-5  et autres;9782070322787  et autres;
Correspondance avec Élie et Florence Halévy ;Alain ;"Correspondance avec Élie et Florence Halévy / Alain ; préface et notes par Jeanne Michel-Alexandre";"Alain (Parisn : Gallimard, DL 1958 ; C 1958)";Alain   Halévy, Élie   Halévy, Florence  et autres;;2 ème édition;Français;;;
Propos d'un Normand . IV . 1906-1914 ;Alain ;Propos d'un Normand . IV . 1906-1914 / Alain;"Alain (Paris : Gallimard, DL 1959 ; C 1959)";;;;Français;2-07-020070-1 ;9782070200702 ;
Abrégés pour les aveugles : portraits et doctrines de philosophes anciens et modernes ;Alain ;Abrégés pour les aveugles : portraits et doctrines de philosophes anciens et modernes / Alain;Alain (Paris : Paul Hartmann, 1943);Philosophes antiques   Philosophes modernes ;;;Français;;;
Eléments de philosophie ;Alain ;Eléments de philosophie / Alain;Alain (Paris : Gallimard, 1962);Philosophie ;"Idées ; 13. Philosophie";;Français;;;
"Le dynamisme de la peur chez Molière  : une analyse socio-culturelle de ""Dom Juan"", ""Tartuffe"" et ""L'Ecole des femmes"" ";Albanese , Ralph ;"Le dynamisme de la peur chez Molière [Texte imprimé] : une analyse socio-culturelle de ""Dom Juan"", ""Tartuffe"" et ""L'Ecole des femmes"" / by Ralph Albanese, jr";Albanese , Ralph (University Miss : Romance monographs, 1976);Molière   Thèmes, motifs -- 1622-1673 -- Critique et interprétation -- 1622-1673 ;"Romance monographs ; 19";;Français;84-399-5071-3 ;9788439950714 ;
Jean-Paul Sartre  ;Albérès , René Marill ;Jean-Paul Sartre [Texte imprimé] / R.-M. Albérès;Albérès , René Marill (Paris : Éd. Universitaires, 1954, cop. 1953);Sartre, Jean-Paul -- 1905-1980 ;"Classiques du XXe siècle ; 11";;Français;;;
Le pari français : le nouveau plein-emploi ;Albert , Michel ;Le pari français : le nouveau plein-emploi / Michel Albert;"Albert , Michel (Paris : Éditions du Seuil, DL1982 ; Tours : Imprimerie Mame)";Chômage   Plein emploi   Full employment policies -- France  et autres;L'Histoire immédiate;;Français;2-02-006197-X ;9782020061971 ;
Un Jasmin ivre  : roman ;Alberti , Olympia ;Un Jasmin ivre [Texte imprimé] : roman / Olympia Alberti;Alberti , Olympia (Paris : A. Michel, 1982);;;;Français;2-226-01563-9 ;9782226015631 ;
Histoire de la guerre civile en URSS . tome deuxième . La grande révolution prolétarienne (octobre-novembre 1917)  ;Aleksandrov , Georgij Fedorovi? ;"Histoire de la guerre civile en URSS . tome deuxième . La grande révolution prolétarienne (octobre-novembre 1917) [Texte imprimé] / G.Alexandrov, I.Mintz, P. Pospélov, [et al.]... ; sous la rédaction de M. Gorki, V. Molotov, K. Vorochilov... [et al.] ; [traduit du russe par Alice Orane et A. Roudnikov]";Aleksandrov , Georgij Fedorovi? (Moscou : Editons en langues étrangères, 1946);URSS -- 1917-1921 (Révolution) ;Histoire de la guerre civile en URSS;;Français;;;
Le cercle du monde  ;Alexander , Hartley Burr ;"Le cercle du monde [Texte imprimé] / Hartley Burr Alexander ; traduit de l'anglais par Michel Ligny";Alexander , Hartley Burr ([Paris] : Gallimard, impr. 1962);"Rites et cérémonies   Indiens d&apos;Amérique -- Amérique du Nord   Philosophie ";"L'espèce humaine ; 20";;Français;;;
La Caisse  ;Alexandrou , Arès ;"La Caisse [Texte imprimé] / Aris Alexandrou ; traduit du grec par Colette Lust";"Alexandrou , Arès ([Paris] : Gallimard, imp. 1978 ;  53-Mayenne :  impr. Floch)";;Du monde entier;;Français;;;
Roulette russe  ;Alexandrov , Victor ;Roulette russe [Texte imprimé] / Victor Alexandrov;Alexandrov , Victor (Paris : la Table ronde, 1970);;;;Non défini;;;
Éducation de vipères  ;Alexandrov , Victor ;Éducation de vipères [Texte imprimé] / Victor Alexandrov;"Alexandrov , Victor (Paris : Flammarion, impr. 1957 ;  Doullens :  impr. de Sévin-Dessaint)";;;;Français;;;
Les Jours de la trahison  ;Alexandrov , Victor ;Les Jours de la trahison [Texte imprimé] / Victor Alexandrov;"Alexandrov , Victor (Paris : Denoël, 1975 ;  33-Artigues-près-Bordeaux :  impr. Delmas)";Accords de Munich (1938) ;;;Français;;;
L'Ours et la baleine  : l'histoire des relations extraordinaires russo-américaines ;Alexandrov , Victor ;L'Ours et la baleine [Texte imprimé] : l'histoire des relations extraordinaires russo-américaines / Victor Alexandrov;Alexandrov , Victor (Paris : Stock, 1958);;;;Français;;;
Compère général Soleil  : roman ;Alexis , Jacques-Stephen ;Compère général Soleil [Texte imprimé] : roman / Jacques Stephen Alexis;"Alexis , Jacques-Stephen (Paris : Gallimard, 1955 ;  Montrouge :  Impr. moderne)";Littérature haïtienne ;;;Français;;;
Manuel de l'animateur social  ;Alinsky , Saul David ;"Manuel de l'animateur social [Texte imprimé] / Saul Alinsky ; présenté par Jean Gouriou ; traduit de l'américain par Odile Hellier et Jean Gouriou";"Alinsky , Saul David (Paris : Éditions du Seuil, 1976 ;  53-Mayenne :  impr. Floch)";Animateurs socio-culturels   Organisation communautaire   Participation politique  et autres;Collections Esprit . La Cité prochaine;;Français;2-02-004482-X ;9782020044820 ;
Un chemin douteux  ;Alleins , Madeleine ;Un chemin douteux [Texte imprimé] / Madeleine Alleins;Alleins , Madeleine ([Paris] : Gallimard, 1970);;;;Français;;;
L' étrangère dans les portes  : roman ;Alleins , Madeleine ;L' étrangère dans les portes [Texte imprimé] : roman / Madeleine Alleins;Alleins , Madeleine (Paris : Gallimard, 1954);;;;Français;;;
L' île du dedans  : roman ;Allen , Suzanne ;L' île du dedans [Texte imprimé] : roman / Suzanne Allen;Allen , Suzanne ([Paris, ] : Gallimard, 1960);;;;Français;;;
Villes et autres lieux : poèmes ;Alloula , Malek ;Villes et autres lieux : poèmes / Malek Alloula;Alloula , Malek (Paris : Christian Bourgois Éditeur, DL 1979);Poésie algérienne de langue française -- 20e siècle ;;;Français;2-267-00167-5 ;9782267001679 ;
L'équivoque écologique ;Alphandéry , Pierre ;L'équivoque écologique / Pierre Alphandéry, Pierre Bitoun et Yves Dupont;Alphandéry , Pierre (Paris : Editions la Découverte, 1991);"Politique de l&apos;environnement   Environmental policy   Écologie humaine  et autres";Cahiers libres;;Français;2-7071-2000-6 ;9782707120007 ;
"Grandes ""O""  ";Alphant , Marianne ;"Grandes ""O"" [Texte imprimé] / Marianne Alphant";Alphant , Marianne ([Paris] : Gallimard, 1975);;Le Chemin;;Français;;;
Le désir d'éternité  ;Alquié , Ferdinand ;Le désir d'éternité [Texte imprimé] / par Ferdinand Alquié, ...;Alquié , Ferdinand (Paris : Presses universitaires de France, 1943);Métaphysique   Éternité (philosophie) ;"Nouvelle encyclopédie philosophique ; 34";;Français;;;
Jean-Claude Renard  : choix de textes ;Alter , André ;Jean-Claude Renard [Texte imprimé] : choix de textes / André Alter;Alter , André (Paris : P. Seghers, impr. 1966);Renard, Jean-Claude -- 1922-2002 ;"Poètes d'aujourd'hui ; 155";;Français;;;
Oppression et libération dans l'imaginaire  : les communautés villageoises de la côte orientale de Madagascar ;Althabe , Gérard ;"Oppression et libération dans l'imaginaire [Texte imprimé] : les communautés villageoises de la côte orientale de Madagascar / Gérard Althabe ; préface de Georges Balandier";Althabe , Gérard (Paris : F. Maspero, 1969);Religion   Villages   Madagascar  et autres;"Textes à l'appui ; 36";;Français;;;
Sur la philosophie ;Althusser , Louis ;Sur la philosophie / Louis Althusser;Althusser , Louis ([Paris] : Gallimard, DL 1994);Althusser, Louis   Philosophie   Matérialisme  et autres;L'infini;;Français;2-07-073894-9 ;9782070738946 ;
"Éléments d'autocritique ;  ";Althusser , Louis ;"Éléments d'autocritique ; [suivi de] Sur l'évolution du jeune Marx] / Louis Althusser";Althusser , Louis ([Paris] : Hachette, DL 1974);Marx, Karl   Spinoza, Baruch   Structuralisme -- Critique et interprétation -- 1632-1677 -- Critique et interprétation -- 1818-1883 ;Collection Analyse;;Français;;;
Journal de captivité : Stalag XA, 1940-1945 : carnets, correspondances, textes ;Althusser , Louis ;"Journal de captivité : Stalag XA, 1940-1945 : carnets, correspondances, textes / Louis Althusser ; éd. établie et présentée par Olivier Corpet et Yann Moulier Boutang";"Althusser , Louis (Paris : Stock : IMEC, 1992, cop. 1992 ;  27-Mesnil-sur-l'Estrée :  Impr. Firmin-Didot)";Althusser, Louis   Guerre mondiale (1939-1945)   Prisonniers de guerre  et autres;;;Français;2-234-02491-9 ;9782234024915 ;
Écrits sur la psychanalyse : Freud et Lacan ;Althusser , Louis ;"Écrits sur la psychanalyse : Freud et Lacan / Louis Althusser ; textes réunis et présentés par Olivier Corpet et François Matheron";Althusser , Louis (Paris : Stock : IMEC, DL 1993);Freud, Sigmund   Lacan, Jacques   Althusser, Louis  et autres;;;Français;2-234-02599-0 ;9782234025998 ;
Introduction à la critique de la raison arabe  ;Al-Yabri , Mohammed Abed ;"Introduction à la critique de la raison arabe [Texte imprimé] / Mohammed Abed Al-Jabri ; traduit de l'arabe et présenté par Ahmed Mahfoud et Marc Geoffroy";Al-Yabri , Mohammed Abed (Casablanca : Le Fennec, impr. 1995);Philosophie arabe ;;;Français;9981-83818-7 ;9789981838185 ;
Le dialogue psychanalytique  : les rapports intersubjectifs en psychanalyse : la vocation du sujet ;Amado Lévy-Valensi , Éliane ;Le dialogue psychanalytique [Texte imprimé] : les rapports intersubjectifs en psychanalyse : la vocation du sujet / par Eliane Amado Lévy-Valensi;Amado Lévy-Valensi , Éliane (Paris : Presses universitaires de France, 1962);Intersubjectivité   Moi (philosophie)   Dialogue (littérature)  et autres;Bibliothèque de philosophie contemporaine. Histoire de la philosophie et philosophie générale;;Français;;;
Délibérations sur les femmes  ;Amiel , Henri Frédéric ;"Délibérations sur les femmes [Texte imprimé] / Henri-Frédéric ; Présentées par Léon Bopp";Amiel , Henri Frédéric (Paris : Stock, Delamain et Boutelleau, 1954);;;;Français;;;
Otto de Habsbourg espoir de l'Autriche  ;Amiguet , Philippe ;Otto de Habsbourg espoir de l'Autriche [Texte imprimé] / Philippe Amiguet;Amiguet , Philippe (Paris : Denoël, (1937));;;;Français;;;
Tunisie, du discours à la réalité  ;Amnesty international ;Tunisie, du discours à la réalité [Texte imprimé] / Amnesty international;"Amnesty international (Paris : les Éd. francophones d'Amnesty international, 1994 ;  14-Condé-sur-Noireau :  Impr. Corlet)";"Droits de l&apos;homme   Tunisie   Tunisie -- Politique et gouvernement ";;;Français;2-87666-060-1 ;9782876660601 ;
Le psychosociologue dans la cité : l'école, l'hôpital, l'entreprise, le syndicat ;Ancelin Schützenberger , Anne ;"Le psychosociologue dans la cité : l'école, l'hôpital, l'entreprise, le syndicat / Fondation Royaumont ; [rédigé par] Anne Ancelin-Schützenberger, Bernard This, Robert Pagès... [et al.] ; préface de Juliette Favez-Boutonier,...";Ancelin Schützenberger , Anne (Paris : Editions de l'Epi, DL 1967);Psychologie sociale   Social psychology ;Hommes et groupes;;Français;;;
Karagöz : Turkish shadow theatre ;And , Metin ;Karagöz : Turkish shadow theatre / Metin And;And , Metin (Ankara : Dost Yay?nlar?, 1975);"Marionnettes   Théâtre d&apos;ombres   Turquie  et autres";;;Anglais;;;
L'Amour et la vie d'une femme  ;André , Robert ;L'Amour et la vie d'une femme [Texte imprimé] / Robert André;André , Robert ([Paris] : Gallimard, 1969);;;;Français;;;
La pensée  : récit ;Andreev , Leonid Nikolaevitch ;"La pensée [Texte imprimé] : récit / Léonide Andréiev ; trad. du russe par Serge Persky et Teodor de Wyzewa ; traduction revue et corrigée par Lily Denis";"Andreev , Leonid Nikolaevitch (Toulouse : Éd. Ombres, 1995 ;  46-Cahors :  Impr. France-Quercy)";;"Petite bibliothèque Ombres ; 58";;Français;2-84142-021-3  et autres;9782841420216  et autres;
Les sciences sociales  : sorcellerie des temps modernes? ;Andreski , Stanislav ;"Les sciences sociales [Texte imprimé] : sorcellerie des temps modernes? / Stanislas Andreski ; traduit de l'anglais par Anne et Claude Rivière";Andreski , Stanislav (Paris : Presses universitaires de France, DL 1975, cop. 1975);Sciences sociales   Critique et interprétation   Sciences  et autres;Sociologie d'aujourd'hui;;Français;;;
Rainer Maria Rilke  : l'évolution spirituelle du poète ;Angelloz , Joseph François ;Rainer Maria Rilke [Texte imprimé] : l'évolution spirituelle du poète / J.-F. Angelloz;Angelloz , Joseph François (Paris : P. Hartmann, 1936);Rilke, Rainer Maria   Critique et interprétation -- 1875-1926 ;;;Français;;;
Tout va se jouer  : roman ;Anquetil , Gilles ;Tout va se jouer [Texte imprimé] : roman / Gilles Anquetil;"Anquetil , Gilles (Paris : B. Grasset, 1995 ;  18-Saint-Amand-Montrond :  Impr. Bussière)";;;;Français;2-246-51591-2 ;9782246515913 ;
Les idéologies politiques  ;Ansart , Pierre ;Les idéologies politiques [Texte imprimé] / Pierre Ansart, ...;Ansart , Pierre ([Paris] : Presses universitaires de France, 1974);Idéologie   Idées politiques ;"Collection Sup . Le sociologue ; 37";;Français;;;
Sociologia del conocimiento ;Ansart , Pierre ;"Sociologia del conocimiento / Pierre Ansart, et al... ; compilador Jean Duvignaud ; [trad. de Diana Irene Galak]";Ansart , Pierre (Mexico, D.F. : Fondo de Cultura Economica, 1982);Knowledge, Sociology of   Sociologie de la connaissance   Religion et politique  et autres;Sección de obras sociología;;Espagnol;968-161232-9 ;9789681612320 ;
Idéologies, conflits et pouvoir  ;Ansart , Pierre ;Idéologies, conflits et pouvoir [Texte imprimé] / Pierre Ansart, ...;"Ansart , Pierre (Paris : Presses universitaires de France, impr. 1977 ;  41-Vendôme :  Impr. des PUF)";Pouvoir (sciences sociales)   Conflit (sociologie)   Idéologie  et autres;Sociologie d'aujourd'hui;;Français;;;
Le groupe et l'inconscient ;Anzieu , Didier ;Le groupe et l'inconscient / Didier Anzieu;Anzieu , Didier ([Paris] : Dunod, DL1975, cop. 1975);Dynamique des groupes   Psychanalyse de groupe   Psychothérapie de groupe  et autres;"Psychismes ; 2";;Français;2-04-003000-X ;9782040030001 ;
Abai  ;Aouézov , Moukhtar ;"Abai [Texte imprimé] / par Moukhtar Aouezov ; trad. du kazakh par Léonide Sobolev et Antoince Vitez";Aouézov , Moukhtar ([Paris] : Gallimard, 1960);;"Littératures soviétiques ; 7";;Français;;;
Les métamorphoses de Tintin  ;Apostolidès , Jean-Marie ;Les métamorphoses de Tintin [Texte imprimé] / Jean-Marie Apostolidès;"Apostolidès , Jean-Marie (Paris : Seghers, 1984 ;  18-Saint-Amand-Montrond :  Impr. S.E.P.C.)";Tintin   Hergé   Personnages -- 1907-1983 -- personnage fictif ;;;Français;2-221-04454-1 ;9782221044544 ;
La Droite aujourd'hui ;Apparu , Jean-Pierre ;La Droite aujourd'hui / Jean-Pierre Apparu;Apparu , Jean-Pierre (Paris : Albin Michel, DL 1979);Droite (science politique)   France -- Histoire   Conservatism -- France  et autres;;;Français;2-226-00873-X ;9782226008732 ;
La politique allemande pendant la guerre  ;Appuhn , Charles ;La politique allemande pendant la guerre [Texte imprimé] / Charles Appuhn, ...;Appuhn , Charles (Paris : A. Costes, 1926);Guerre mondiale (1914-1918)   Allemagne   Allemagne -- Politique et gouvernement -- 1871-1918 ;Publications de la Société de l'histoire de la guerre . Troisième série;;Français;;;
Les années d'apprentissage de Fiodor Dostoïevski  ;Arban , Dominique ;Les années d'apprentissage de Fiodor Dostoïevski [Texte imprimé] / Dominique Arban;Arban , Dominique (Paris : Payot, 1968);Dostoïevski, Fedor Mikhailovitch   Biographies -- 1821-1881 ;Bibliothèque historique;;Français;;;
Histoire financière : de l'Antiquité à nos jours ;Ardant , Gabriel ;Histoire financière : de l'Antiquité à nos jours / Gabriel Ardant;Ardant , Gabriel ([Paris] : Gallimard, DL 1976);Finances publiques   Impôt   Histoire  et autres;"Collection Idées ; 364";;Français;2-07-035364-8 ;9782070353644 ;
La bilbe  : roman ;Ardisson , Thierry ;La bilbe [Texte imprimé] : roman / Thierry Ardisson;Ardisson , Thierry (Paris : Ed. du Seuil, D.L.1975);;;;Français;;;
Propos actuels sur l'éducation . II . Éducation et politique  : (pour un projet d'éducation dans une perspective socialiste) ;Ardoino , Jacques ;Propos actuels sur l'éducation . II . Éducation et politique [Texte imprimé] : (pour un projet d'éducation dans une perspective socialiste) / J. Ardoino, ...;"Ardoino , Jacques (Paris : Gauthier-Villars, DL 1977 ;  61-L'Aigle :  impr. R. Boudet)";Éducation des adultes   Politique et éducation   20e siècle  et autres;"Hommes et organisations .- Propos actuels sur l'éducation ; 2";[6e édition];Français;2-04-010094-6 ;9782040100940 ;
Les enfants de CaÏn  ;Ardrey , Robert ;"Les enfants de CaÏn [Texte imprimé] / Robert Ardrey ; traduit de l'anglais par Philippe-Vincent Huguet ; illustrations de Berdine Ardrey";"Ardrey , Robert (Paris : Stock, 1977 ;  27-Évreux :  impr. Hérissey)";;Stock plus;;Français;2-234-00745-3 ;9782234007451 ;
Du mensonge à la violence : essais de politique contemporaine ;Arendt , Hannah ;"Du mensonge à la violence : essais de politique contemporaine / Hannah Arendt ; [traduit de l'anglais par Guy Durand]";"Arendt , Hannah (Paris : Calmann-Lévy, DL 1972 ; Mayenne : impr. Floch)";Violence   Violence politique   Vérité et mensonge ;Liberté de l'esprit;;Français;;;
Sur l'antisémitisme ;Arendt , Hannah ;"Sur l'antisémitisme / Hannah Arendt ; [traduit de l'anglais par Micheline Pouteau]";Arendt , Hannah (Paris : Calmann-Lévy, 1973);Antisémitisme ;Diaspora;;Français;2-02-006775-7  et autres;9782020067751  et autres;
La Crise de la culture  : huit exercices de pensée politique ;Arendt , Hannah ;"La Crise de la culture [Texte imprimé] : huit exercices de pensée politique / Hannah Arendt ; traduit de l'anglais sous la direction de Patrick Lévy";Arendt , Hannah ([Paris] : Gallimard, 1972);Sociologie de la culture   Culture   Civilisation -- 1950-....  et autres;"Idées ; 263";;Français;2-07-035263-3 ;9782070352630 ;
L'homme devant la mort ;Ariès , Philippe ;L'homme devant la mort / Philippe Ariès;"Ariès , Philippe (Paris : Éditions du Seuil ; C [1977])";Mort -- Aspect religieux   Mort   Service funèbre  et autres;"L'Univers historique ; 24";;Français;2-02-004731-4 ;9782020047319 ;
Les échanges  ;Arland , Marcel ;Les échanges [Texte imprimé] / Marcel Arland;Arland , Marcel ([Paris] : Gallimard, [1946]);;;;Français;;;
Esotérisme de Shakespeare ;Arnold , Paul ;Esotérisme de Shakespeare / Paul Arnold;Arnold , Paul (Paris : Mercure de France, 1955);Shakespeare, William   Occultism -- Ésotérisme -- 1564-1616 -- Critique et interprétation -- 1564-1616 -- 1564-1616 -- Knowledge -- Occultism ;;;Français;;;
Le pénis et la démoralisation de l'Occident ;Aron , Jean-Paul ;Le pénis et la démoralisation de l'Occident / Jean-Paul Aron, Roger Kempf;Aron , Jean-Paul (Paris : Bernard Grasset, DL 1978);Morale sexuelle   France   19e siècle  et autres;Figures;;Français;2-246-00673-2 ;9782246006732 ;
Anthropologie du conscrit français : d'après les comptes numériques et sommaires du recrutement de l'armée (1819-1826) : présentation cartographique ;Aron , Jean-Paul ;Anthropologie du conscrit français : d'après les comptes numériques et sommaires du recrutement de l'armée (1819-1826) : présentation cartographique / Jean-Paul Aron, Paul Dumont, Emmanuel Le Roy Ladurie;"Aron , Jean-Paul (Paris ; La Haye : Mouton, 1972 ;  impr. aux Pays-Bas)";France -- Armée -- Recrutement et engagement   19e siècle   France -- Armée -- Recruiting, enlistment, etc  et autres;"Civilisations et sociétés ; 28";;Français;;;
Essais d'épistémologie biologique  ;Aron , Jean-Paul ;Essais d'épistémologie biologique [Texte imprimé] / Jean Paul Aron;Aron , Jean-Paul (Paris : C. Bourgois, impr.1969);Épistémologie   Biologie   Sciences et sciences humaines  et autres;;;Français;;;
L'opium des intellectuels  ;Aron , Raymond ;L'opium des intellectuels [Texte imprimé] / Raymond Aron;Aron , Raymond ([Paris] : Gallimard, 1968);Intellectuels   Activité politique   Gauche (science politique)  et autres;"Idées ; 175";;Français;;;
