Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Le mal est parmi nous  ;Collectif ;Le mal est parmi nous [Texte imprimé] / par Paul Claudel, Jacques Maritain, Henri Gouhier... [et al.];Livre (Paris : Plon, 1948);Problème du mal   Bien et mal ;Présences;;Français;;;
Commission internationale contre le régime concentrationnaire . T.3 . Livre blanc sur les camps de concentration soviétiques ;Collectif ;Commission internationale contre le régime concentrationnaire . T.3 . Livre blanc sur les camps de concentration soviétiques [Texte imprimé];Livre ((Paris) : Ed. Le Pavois, 1951);Déportation   Russie   Sibérie (Russie)  et autres;;;Français;;;
Interpretive social science  : a reader ;Collectif ;Interpretive social science [Texte imprimé] : a reader / edited by Paul Rabinow and William M. Sullivan;Livre (Berkeley : University of California Press, ccop. 1979);Philosophie sociale ;;;Anglais;0-520-03588-7  et autres;9780520035881  et autres;
L'espace du rêve ;Collectif ;L'espace du rêve [Texte imprimé];Livre (Paris : Gallimard, 1972);Rêves ;;;Français;2-07-028313-5 ;9782070283132 ;
Soziologie ;Collectif ;Soziologie / herausgegeben von Professor Dr. René König;"Livre (Frankfurt am Main : Fischer Bücherei ; C 1958)";Sociologie   Dictionnaires allemands   Sociology ;"Das Fischer Lexikon : Enzyklopädie des Wissens ; 10";;Allemand;;;
Introduction à la culture africaine : aspects généraux ;Collectif ;"Introduction à la culture africaine : aspects généraux / par Alpha I. Sow, Honorat Aguessy, Pathé Diagne...[et al.] ; [publié par l'] Unesco";"Livre (Paris : Union générale d'éditions, cop. 1977 ;  18-Saint-Amand :  impr. Bussière)";Art -- Afrique subsaharienne   Civilisation -- Afrique   Africa -- Civilization ;"10-18 ; 1176";;Français;2-264-00198-4  et autres;9782264001986  et autres;
Le structuralisme génétique  : l'œuvre et l'influence de Lucien Goldmann ;Collectif ;Le structuralisme génétique [Texte imprimé] : l'œuvre et l'influence de Lucien Goldmann / [textes réunis par] Annie Goldmann, Michel Loury et Sami Naïr;"Livre (Paris : Denoël : Gonthier, 1977 ;  18-Saint-Amand :  impr. Bussière)";;"Bibliothèque Médiations ; 159";;Français;;;
Les Arabes ;Collectif ;Les Arabes [Texte imprimé];Livre (Paris : le Livre de poche, 1975);Arabes   Pays arabes   Dictionnaires ;"Le Livre de poche ; 4452 . Encyclopédie du monde actuel (EDMA)";;Français;2-253-00942-3 ;9782253009429 ;
Biologie générale  : à l'usage des étudiants préparant la licence et la maitrise ès sciences biologiques, des étudiants en médecine et pharmacie et des élèves des grandes écoles ;Collectif ;Biologie générale [Texte imprimé] : à l'usage des étudiants préparant la licence et la maitrise ès sciences biologiques, des étudiants en médecine et pharmacie et des élèves des grandes écoles / par Pierre-P. Grassé, ... Pierre Laviolette, ... André Hollande, ... [et al.];Livre (Paris : Masson et Cie, 1966);Biologie   Cellules -- Physiologie   Embryologie ;Précis de sciences biologiques;;Français;;;
Les ambassadeurs vénitiens  : 1525-1792 : relations de voyages et de missions ;Collectif ;"Les ambassadeurs vénitiens [Texte imprimé] : 1525-1792 : relations de voyages et de missions / choisies et préf. par Giovanni Comisso ; trad. de l'italien par Soula Aghion et Christian Paoloni";Livre (Paris : le Promeneur, 1989);Ambassadeurs   Italie   Histoire  et autres;;;Français;2-87653-072-4 ;9782876530720 ;
Théâtre du crepuscule  : A propos de Haute-Autriche de Franz-Xaver Kroetz;Collectif ;Théâtre du crepuscule [Texte imprimé] : A propos de Haute-Autriche de Franz-Xaver Kroetz;Livre (Louvain-la-Neuve : Cahiers Théâtre Louvain, impr. 1976);;"Cahiers théâtre Louvain ; 3";;Français;;;
Récits et contes populaires des Pyrénées . 1 . Dans le pays de Foix  ;Collectif ;Récits et contes populaires des Pyrénées . 1 . Dans le pays de Foix [Texte imprimé] / réunis par Jean-Pierre Piniès = Racontes e contes del païs de Fois;Livre ([Paris] : Gallimard, 1978);Contes occitans   Littérature populaire   France  et autres;Récits et contes populaires;;"Français; Occitan (après 1500)";;;
Les encyclopédistes  : D'Alembert, Condillac, Buffon, Marmontel, Helvétius, D'Holbach, Turgot, Condorcet : pages choisies;Collectif ;Les encyclopédistes [Texte imprimé] : D'Alembert, Condillac, Buffon, Marmontel, Helvétius, D'Holbach, Turgot, Condorcet : pages choisies;Livre (Paris : la Renaissance du livre, [19..]);"Alembert, D&apos;   Condillac, Étienne Bonnot de   Buffon, Georges-Louis Leclerc  et autres";;;Français;;;
"Procès à ""Coupure"" ";Collectif ;"Procès à ""Coupure"" [Texte imprimé] : [Tribunal correctionnel de Paris, 17e Chambre, affaire Losfeld-Schuster, audience du 29 juin et jugement du 6 juillet 1971]";Livre ([Paris] : E. Losfeld, 1972);;"Le Désordre ; 15";;Français;;;
Tragédie de la déportation, 1940-1945  : témoignages de survivants des camps de concentration allemands ;Collectif ;Tragédie de la déportation, 1940-1945 [Texte imprimé] : témoignages de survivants des camps de concentration allemands / choisis et présentés par Olga Wormser et Henri Michel;Livre (Paris : Hachette, DL 1954, cop. 1954);Camps de concentration -- Allemagne   Récits personnels   Survivants des camps de concentration  et autres;;;Français;;;
Tao tö king  ;Collectif ;"Tao tö king [Texte imprimé] / Lao-Tseu ; traduit du chinois par Liou Kia-Hway ; préface d'Etiemble";Livre (Paris : Gallimard, impr. 1969);Taoïsme   Philosophie taoïste ;"Idées . Série ""Philosophie ; 179";;Français;;;
Anthologie des écrivains maghrébins d'expression française  ;Collectif ;"Anthologie des écrivains maghrébins d'expression française [Texte imprimé] / Sous la direction de Albert Memmi ; Choix et présentation de Jacqueline Arnaud, Jean Déjeux, Abdelkebir Khatibi, Arlette Roth";"Livre (Paris : Présence africaine, 1964 ;  Condé-sur-Noireau :  impr. C. Corlet)";Littérature maghrébine de langue française   Écrivains maghrébins de langue française ;;;Français;;;
De l'amour au voyage  : anthologie thématique de la poésie française ;Collectif ;De l'amour au voyage [Texte imprimé] : anthologie thématique de la poésie française / Max-Pol Fouchet;Livre (Paris : Seghers, impr. 1958);;;;Français;;;
Is God an American ?  : an anthropological perspective on the missionary work of the Summer Institute of Linguistics ;Collectif ;Is God an American ? [Texte imprimé] : an anthropological perspective on the missionary work of the Summer Institute of Linguistics / edited by Søren Hvalkof and Peter Aaby;"Livre (Copenhagen : International Work Group for Indigenous Affairs (IWGIA) ; London : Survival International, 1981)";Société internationale de linguistique ;"Document ; 43";;Anglais;87-980717-2-6 ;9788798071723 ;
